epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
74,2794.01,0.50329,2.45545,1.20452,0.8702,0.76285,0.85884,0.68366,0.76182,2.26406,1.0888,0.000177651,0.000177651,0.000177651
75,2833.46,0.50912,2.51316,1.21714,0.83861,0.76916,0.85494,0.69819,0.74169,2.21995,1.05644,0.000166149,0.000166149,0.000166149
76,2870.1,0.53029,2.54261,1.22598,0.82246,0.847,0.87035,0.69258,0.76771,2.14746,1.08586,0.000154982,0.000154982,0.000154982
77,2907.01,0.48086,2.39955,1.19174,0.84545,0.82124,0.87137,0.71834,0.72831,2.07924,1.06309,0.000144161,0.000144161,0.000144161
78,2950.16,0.48878,2.42892,1.19584,0.85977,0.82681,0.88456,0.7236,0.73951,1.99843,1.05921,0.000133695,0.000133695,0.000133695
79,2988.62,0.50073,2.42992,1.21037,0.88167,0.81642,0.88706,0.72144,0.72746,2.04423,1.05793,0.000123596,0.000123596,0.000123596
80,3024.54,0.49947,2.45536,1.20377,0.89692,0.79508,0.88788,0.7262,0.73099,2.04694,1.0611,0.000113873,0.000113873,0.000113873
81,3066.5,0.48557,2.33768,1.19619,0.84499,0.82994,0.88299,0.7234,0.7226,2.08011,1.04512,0.000104537,0.000104537,0.000104537
82,3103.09,0.50004,2.4533,1.20557,0.8609,0.79916,0.88735,0.71666,0.73623,2.05889,1.06864,9.55951e-05,9.55951e-05,9.55951e-05
83,3140.72,0.49304,2.38065,1.18938,0.89861,0.84969,0.90411,0.72808,0.73681,1.93358,1.07198,8.70577e-05,8.70577e-05,8.70577e-05
84,3185.21,0.48072,2.39324,1.19091,0.85621,0.86729,0.90457,0.73605,0.7198,1.93206,1.05505,7.89327e-05,7.89327e-05,7.89327e-05
85,3229.2,0.48542,2.3321,1.19311,0.85639,0.86444,0.90213,0.7384,0.72263,1.99341,1.05715,7.12282e-05,7.12282e-05,7.12282e-05
86,3288.86,0.47483,2.27701,1.18549,0.89427,0.81379,0.89583,0.72589,0.72086,1.97171,1.05174,6.39518e-05,6.39518e-05,6.39518e-05
87,3325.21,0.48862,2.33846,1.19748,0.87262,0.84405,0.907,0.74399,0.72864,1.91713,1.05517,5.71106e-05,5.71106e-05,5.71106e-05
88,3368.91,0.47059,2.241,1.1699,0.88434,0.85443,0.90305,0.74265,0.72771,1.922,1.05013,5.07115e-05,5.07115e-05,5.07115e-05
89,3404.75,0.48966,2.32723,1.19629,0.92561,0.82723,0.90916,0.74797,0.71529,1.85809,1.05017,4.47606e-05,4.47606e-05,4.47606e-05
90,3441.63,0.49695,2.31384,1.19966,0.87074,0.86518,0.91086,0.7491,0.71684,1.85494,1.04542,3.9264e-05,3.9264e-05,3.9264e-05
91,3485.27,0.42294,2.58682,1.22501,0.85374,0.79708,0.87225,0.70887,0.72715,2.26753,1.05339,3.4227e-05,3.4227e-05,3.4227e-05
92,3519.29,0.38544,1.56592,1.21072,0.92172,0.83574,0.90606,0.74168,0.71321,1.89659,1.03919,2.96546e-05,2.96546e-05,2.96546e-05
93,3554.83,0.36907,1.46444,1.18367,0.90321,0.85552,0.91445,0.75074,0.7224,1.88064,1.04757,2.55513e-05,2.55513e-05,2.55513e-05
94,3590.02,0.36395,1.38144,1.17839,0.90773,0.85416,0.91604,0.76054,0.70955,1.85912,1.03523,2.19212e-05,2.19212e-05,2.19212e-05
95,3630.26,0.35797,1.33159,1.17643,0.92516,0.86787,0.91807,0.76843,0.69023,1.81513,1.01691,1.87678e-05,1.87678e-05,1.87678e-05
96,3666.76,0.35163,1.29288,1.17537,0.91741,0.87959,0.91872,0.76601,0.69411,1.82535,1.0231,1.60943e-05,1.60943e-05,1.60943e-05
97,3700.98,0.34779,1.27482,1.17151,0.92918,0.86266,0.91914,0.76954,0.68576,1.79918,1.01286,1.39032e-05,1.39032e-05,1.39032e-05
98,3739.11,0.34955,1.26934,1.16693,0.92029,0.87388,0.91973,0.77218,0.68866,1.7824,1.01331,1.21968e-05,1.21968e-05,1.21968e-05
99,3779.14,0.35069,1.27002,1.16717,0.91439,0.86736,0.91974,0.77756,0.68603,1.78599,1.00933,1.09768e-05,1.09768e-05,1.09768e-05
100,3818.67,0.35607,1.28436,1.1755,0.92794,0.86253,0.91989,0.77548,0.68693,1.79434,1.00902,1.02443e-05,1.02443e-05,1.02443e-05
